grid,probability
"(53, 48)",0.97
"(53, 49)",0.86
"(53, 50)",0.95
"(53, 51)",0.94
"(53, 52)",0.96
"(53, 53)",0.98
"(53, 54)",0.98
"(53, 55)",0.96
"(53, 56)",0.97
"(53, 57)",0.99
"(53, 58)",0.99
"(53, 59)",0.99
"(53, 60)",0.97
"(53, 61)",0.88
"(53, 62)",0.9
"(53, 63)",0.93
"(53, 64)",0.91
"(53, 65)",0.93
"(53, 66)",0.96
"(54, 0)",0.47
"(54, 1)",0.56
"(54, 2)",0.82
"(54, 3)",0.81
"(54, 4)",0.71
"(54, 5)",0.54
"(54, 6)",0.6
"(54, 7)",0.73
"(54, 8)",0.78
"(54, 9)",0.77
"(54, 10)",0.74
"(54, 11)",0.69
"(54, 12)",0.65
"(54, 13)",0.84
"(54, 14)",0.8
"(54, 15)",0.85
"(54, 16)",0.97
"(54, 17)",0.94
"(54, 18)",0.94
"(54, 19)",0.96
"(54, 20)",0.98
"(54, 21)",0.99
"(54, 22)",0.98
"(54, 23)",0.97
"(54, 24)",0.98
"(54, 25)",0.98
"(54, 26)",0.96
"(54, 27)",0.96
"(54, 28)",0.97
"(54, 29)",0.95
"(54, 30)",0.93
"(54, 31)",0.9
"(54, 32)",0.88
"(54, 33)",0.89
"(54, 34)",0.88
"(54, 35)",0.87
"(54, 36)",0.89
"(54, 37)",0.97
"(54, 38)",0.9
"(54, 39)",0.95
"(54, 40)",0.99
"(54, 41)",1.0
"(54, 42)",0.99
"(54, 43)",1.0
"(54, 44)",1.0
"(54, 45)",1.0
"(54, 46)",1.0
"(54, 47)",0.97
"(54, 48)",0.96
"(54, 49)",0.85
"(54, 50)",0.94
"(54, 51)",0.93
"(54, 52)",0.95
"(54, 53)",0.97
"(54, 54)",0.97
"(54, 55)",0.95
"(54, 56)",0.96
"(54, 57)",0.98
"(54, 58)",0.98
"(54, 59)",0.98
"(54, 60)",0.96
"(54, 61)",0.87
"(54, 62)",0.89
"(54, 63)",0.92
"(54, 64)",0.91
"(54, 65)",0.93
"(54, 66)",0.96
"(55, 0)",0.49
"(55, 1)",0.54
"(55, 2)",0.78
"(55, 3)",0.79
"(55, 4)",0.69
"(55, 5)",0.51
"(55, 6)",0.57
"(55, 7)",0.71
"(55, 8)",0.74
"(55, 9)",0.74
"(55, 10)",0.72
"(55, 11)",0.69
"(55, 12)",0.66
"(55, 13)",0.8
"(55, 14)",0.75
"(55, 15)",0.82
"(55, 16)",0.99
"(55, 17)",0.96
"(55, 18)",0.96
"(55, 19)",0.98
"(55, 20)",0.99
"(55, 21)",0.98
"(55, 22)",0.97
"(55, 23)",0.96
"(55, 24)",0.95
"(55, 25)",0.95
"(55, 26)",0.93
"(55, 27)",0.93
"(55, 28)",0.94
"(55, 29)",0.92
"(55, 30)",0.9
"(55, 31)",0.87
"(55, 32)",0.87
"(55, 33)",0.88
"(55, 34)",0.87
"(55, 35)",0.86
"(55, 36)",0.88
"(55, 37)",0.96
"(55, 38)",0.89
"(55, 39)",0.95
"(55, 40)",0.99
"(55, 41)",1.0
"(55, 42)",0.99
"(55, 43)",1.0
"(55, 44)",1.0
"(55, 45)",1.0
"(55, 46)",1.0
"(55, 47)",0.97
"(55, 48)",0.97
"(55, 49)",0.86
"(55, 50)",0.95
"(55, 51)",0.94
"(55, 52)",0.96
"(55, 53)",0.97
"(55, 54)",0.97
"(55, 55)",0.95
"(55, 56)",0.96
"(55, 57)",0.98
"(55, 58)",0.98
"(55, 59)",0.98
"(55, 60)",0.96
"(55, 61)",0.87
"(55, 62)",0.89
"(55, 63)",0.92
"(55, 64)",0.91
"(55, 65)",0.93
"(55, 66)",0.96
"(56, 0)",0.5
"(56, 1)",0.54
"(56, 2)",0.78
"(56, 3)",0.81
"(56, 4)",0.7
"(56, 5)",0.52
"(56, 6)",0.57
"(56, 7)",0.71
"(56, 8)",0.74
"(56, 9)",0.74
"(56, 10)",0.73
"(56, 11)",0.71
"(56, 12)",0.67
"(56, 13)",0.83
"(56, 14)",0.8
"(56, 15)",0.83
"(56, 16)",0.95
"(56, 17)",0.92
"(56, 18)",0.93
"(56, 19)",0.95
"(56, 20)",0.96
"(56, 21)",0.94
"(56, 22)",0.93
"(56, 23)",0.93
"(56, 24)",0.92
"(56, 25)",0.92
"(56, 26)",0.9
"(56, 27)",0.9
"(56, 28)",0.92
"(56, 29)",0.91
"(56, 30)",0.89
"(56, 31)",0.86
"(56, 32)",0.86
"(56, 33)",0.87
"(56, 34)",0.87
"(56, 35)",0.86
"(56, 36)",0.88
"(56, 37)",0.96
"(56, 38)",0.89
"(56, 39)",0.94
"(56, 40)",0.98
"(56, 41)",0.99
"(56, 42)",0.98
"(56, 43)",0.99
"(56, 44)",0.99
"(56, 45)",0.99
"(56, 46)",0.99
"(56, 47)",0.96
"(56, 48)",0.96
"(56, 49)",0.85
"(56, 50)",0.94
"(56, 51)",0.93
"(56, 52)",0.95
"(56, 53)",0.96
"(56, 54)",0.96
"(56, 55)",0.94
"(56, 56)",0.95
"(56, 57)",0.97
"(56, 58)",0.97
"(56, 59)",0.97
"(56, 60)",0.95
"(56, 61)",0.85
"(56, 62)",0.87
"(56, 63)",0.9
"(56, 64)",0.89
"(56, 65)",0.91
"(56, 66)",0.94
"(57, 0)",0.5
"(57, 1)",0.56
"(57, 2)",0.8
"(57, 3)",0.83
"(57, 4)",0.72
"(57, 5)",0.55
"(57, 6)",0.58
"(57, 7)",0.71
"(57, 8)",0.74
"(57, 9)",0.73
"(57, 10)",0.71
"(57, 11)",0.69
"(57, 12)",0.65
"(57, 13)",0.82
"(57, 14)",0.83
"(57, 15)",0.84
"(57, 16)",0.97
"(57, 17)",0.94
"(57, 18)",0.95
"(57, 19)",0.97
"(57, 20)",0.98
"(57, 21)",0.97
"(57, 22)",0.97
"(57, 23)",0.98
"(57, 24)",0.97
"(57, 25)",0.97
"(57, 26)",0.95
"(57, 27)",0.95
"(57, 28)",0.96
"(57, 29)",0.95
"(57, 30)",0.92
"(57, 31)",0.89
"(57, 32)",0.88
"(57, 33)",0.89
"(57, 34)",0.88
"(57, 35)",0.87
"(57, 36)",0.89
"(57, 37)",0.97
"(57, 38)",0.9
"(57, 39)",0.95
"(57, 40)",0.99
"(57, 41)",1.0
"(57, 42)",0.99
"(57, 43)",1.0
"(57, 44)",1.0
"(57, 45)",1.0
"(57, 46)",1.0
"(57, 47)",0.97
"(57, 48)",0.97
"(57, 49)",0.86
"(57, 50)",0.95
"(57, 51)",0.94
"(57, 52)",0.96
"(57, 53)",0.97
"(57, 54)",0.97
"(57, 55)",0.95
"(57, 56)",0.96
"(57, 57)",0.98
"(57, 58)",0.98
"(57, 59)",0.98
"(57, 60)",0.96
"(57, 61)",0.87
"(57, 62)",0.89
"(57, 63)",0.92
"(57, 64)",0.9
"(57, 65)",0.92
"(57, 66)",0.96
"(58, 0)",0.5
"(58, 1)",0.58
"(58, 2)",0.82
"(58, 3)",0.84
"(58, 4)",0.74
"(58, 5)",0.57
"(58, 6)",0.59
"(58, 7)",0.71
"(58, 8)",0.74
"(58, 9)",0.73
"(58, 10)",0.72
"(58, 11)",0.7
"(58, 12)",0.65
"(58, 13)",0.76
"(58, 14)",0.79
"(58, 15)",0.78
"(58, 16)",0.95
"(58, 17)",0.92
"(58, 18)",0.93
"(58, 19)",0.95
"(58, 20)",0.97
"(58, 21)",0.96
"(58, 22)",0.96
"(58, 23)",0.97
"(58, 24)",0.97
"(58, 25)",0.97
"(58, 26)",0.95
"(58, 27)",0.95
"(58, 28)",0.96
"(58, 29)",0.95
"(58, 30)",0.92
"(58, 31)",0.89
"(58, 32)",0.88
"(58, 33)",0.89
"(58, 34)",0.88
"(58, 35)",0.87
"(58, 36)",0.89
"(58, 37)",0.97
"(58, 38)",0.9
"(58, 39)",0.95
"(58, 40)",0.99
"(58, 41)",0.99
"(58, 42)",0.98
"(58, 43)",0.99
"(58, 44)",0.99
"(58, 45)",1.0
"(58, 46)",1.0
"(58, 47)",0.97
"(58, 48)",0.97
"(58, 49)",0.87
"(58, 50)",0.96
"(58, 51)",0.95
"(58, 52)",0.97
"(58, 53)",0.97
"(58, 54)",0.97
"(58, 55)",0.95
"(58, 56)",0.96
"(58, 57)",0.98
"(58, 58)",0.98
"(58, 59)",0.98
"(58, 60)",0.96
"(58, 61)",0.87
"(58, 62)",0.89
"(58, 63)",0.92
"(58, 64)",0.89
"(58, 65)",0.91
"(58, 66)",0.96
"(59, 0)",0.49
"(59, 1)",0.54
"(59, 2)",0.77
"(59, 3)",0.82
"(59, 4)",0.73
"(59, 5)",0.57
"(59, 6)",0.55
"(59, 7)",0.61
"(59, 8)",0.67
"(59, 9)",0.64
"(59, 10)",0.61
"(59, 11)",0.57
"(59, 12)",0.53
"(59, 13)",0.64
"(59, 14)",0.68
"(59, 15)",0.67
"(59, 16)",0.95
"(59, 17)",0.93
"(59, 18)",0.94
"(59, 19)",0.95
"(59, 20)",0.98
"(59, 21)",0.96
"(59, 22)",0.96
"(59, 23)",0.97
"(59, 24)",0.97
"(59, 25)",0.97
"(59, 26)",0.95
"(59, 27)",0.95
"(59, 28)",0.96
"(59, 29)",0.95
"(59, 30)",0.92
"(59, 31)",0.89
"(59, 32)",0.88
"(59, 33)",0.89
"(59, 34)",0.88
"(59, 35)",0.87
"(59, 36)",0.89
"(59, 37)",0.97
"(59, 38)",0.9
"(59, 39)",0.95
"(59, 40)",0.99
"(59, 41)",0.99
"(59, 42)",0.98
"(59, 43)",0.99
"(59, 44)",0.99
"(59, 45)",1.0
"(59, 46)",1.0
"(59, 47)",0.97
"(59, 48)",0.97
"(59, 49)",0.87
"(59, 50)",0.96
"(59, 51)",0.95
"(59, 52)",0.97
"(59, 53)",0.97
"(59, 54)",0.97
"(59, 55)",0.95
"(59, 56)",0.96
"(59, 57)",0.98
"(59, 58)",0.98
"(59, 59)",0.98
"(59, 60)",0.96
"(59, 61)",0.87
"(59, 62)",0.89
"(59, 63)",0.92
"(59, 64)",0.89
"(59, 65)",0.91
"(59, 66)",0.96
"(60, 0)",0.54
"(60, 1)",0.57
"(60, 2)",0.78
"(60, 3)",0.84
"(60, 4)",0.74
"(60, 5)",0.58
"(60, 6)",0.56
"(60, 7)",0.63
"(60, 8)",0.66
"(60, 9)",0.63
"(60, 10)",0.6
"(60, 11)",0.56
"(60, 12)",0.52
"(60, 13)",0.62
"(60, 14)",0.66
"(60, 15)",0.66
"(60, 16)",0.91
"(60, 17)",0.89
"(60, 18)",0.9
"(60, 19)",0.9
"(60, 20)",0.93
"(60, 21)",0.92
"(60, 22)",0.92
"(60, 23)",0.93
"(60, 24)",0.94
"(60, 25)",0.94
"(60, 26)",0.93
"(60, 27)",0.93
"(60, 28)",0.95
"(60, 29)",0.95
"(60, 30)",0.93
"(60, 31)",0.9
"(60, 32)",0.89
"(60, 33)",0.9
"(60, 34)",0.88
"(60, 35)",0.88
"(60, 36)",0.9
"(60, 37)",0.96
"(60, 38)",0.89
"(60, 39)",0.94
"(60, 40)",0.98
"(60, 41)",0.98
"(60, 42)",0.97
"(60, 43)",0.98
"(60, 44)",0.98
"(60, 45)",1.0
"(60, 46)",1.0
"(60, 47)",0.97
"(60, 48)",0.97
"(60, 49)",0.88
"(60, 50)",0.96
"(60, 51)",0.95
"(60, 52)",0.97
"(60, 53)",0.97
"(60, 54)",0.97
"(60, 55)",0.95
"(60, 56)",0.96
"(60, 57)",0.98
"(60, 58)",0.98
"(60, 59)",0.98
"(60, 60)",0.97
"(60, 61)",0.87
"(60, 62)",0.89
"(60, 63)",0.92
"(60, 64)",0.88
"(60, 65)",0.9
"(60, 66)",0.95
"(61, 0)",0.6
"(61, 1)",0.63
"(61, 2)",0.79
"(61, 3)",0.87
"(61, 4)",0.75
"(61, 5)",0.58
"(61, 6)",0.58
"(61, 7)",0.64
"(61, 8)",0.64
"(61, 9)",0.61
"(61, 10)",0.59
"(61, 11)",0.55
"(61, 12)",0.5
"(61, 13)",0.62
"(61, 14)",0.65
"(61, 15)",0.66
"(61, 16)",0.9
"(61, 17)",0.88
"(61, 18)",0.89
"(61, 19)",0.9
"(61, 20)",0.93
"(61, 21)",0.92
"(61, 22)",0.92
"(61, 23)",0.93
"(61, 24)",0.94
"(61, 25)",0.94
"(61, 26)",0.93
"(61, 27)",0.93
"(61, 28)",0.95
"(61, 29)",0.95
"(61, 30)",0.93
"(61, 31)",0.9
"(61, 32)",0.89
"(61, 33)",0.9
"(61, 34)",0.88
"(61, 35)",0.88
"(61, 36)",0.9
"(61, 37)",0.96
"(61, 38)",0.89
"(61, 39)",0.94
"(61, 40)",0.98
"(61, 41)",0.98
"(61, 42)",0.97
"(61, 43)",0.98
"(61, 44)",0.98
"(61, 45)",1.0
"(61, 46)",1.0
"(61, 47)",0.98
"(61, 48)",0.97
"(61, 49)",0.88
"(61, 50)",0.96
"(61, 51)",0.95
"(61, 52)",0.97
"(61, 53)",0.97
"(61, 54)",0.97
"(61, 55)",0.95
"(61, 56)",0.96
"(61, 57)",0.98
"(61, 58)",0.98
"(61, 59)",0.98
"(61, 60)",0.97
"(61, 61)",0.87
"(61, 62)",0.89
"(61, 63)",0.92
"(61, 64)",0.88
"(61, 65)",0.9
"(61, 66)",0.95
"(62, 0)",0.68
"(62, 1)",0.7
"(62, 2)",0.77
"(62, 3)",0.85
"(62, 4)",0.75
"(62, 5)",0.58
"(62, 6)",0.6
"(62, 7)",0.66
"(62, 8)",0.67
"(62, 9)",0.63
"(62, 10)",0.62
"(62, 11)",0.56
"(62, 12)",0.5
"(62, 13)",0.64
"(62, 14)",0.68
"(62, 15)",0.7
"(62, 16)",0.9
"(62, 17)",0.88
"(62, 18)",0.88
"(62, 19)",0.89
"(62, 20)",0.92
"(62, 21)",0.91
"(62, 22)",0.91
"(62, 23)",0.92
"(62, 24)",0.92
"(62, 25)",0.92
"(62, 26)",0.91
"(62, 27)",0.91
"(62, 28)",0.93
"(62, 29)",0.93
"(62, 30)",0.91
"(62, 31)",0.88
"(62, 32)",0.88
"(62, 33)",0.89
"(62, 34)",0.87
"(62, 35)",0.87
"(62, 36)",0.88
"(62, 37)",0.95
"(62, 38)",0.89
"(62, 39)",0.93
"(62, 40)",0.97
"(62, 41)",0.97
"(62, 42)",0.96
"(62, 43)",0.97
"(62, 44)",0.97
"(62, 45)",0.99
"(62, 46)",0.99
"(62, 47)",0.97
"(62, 48)",0.96
"(62, 49)",0.87
"(62, 50)",0.95
"(62, 51)",0.94
"(62, 52)",0.96
"(62, 53)",0.96
"(62, 54)",0.96
"(62, 55)",0.94
"(62, 56)",0.95
"(62, 57)",0.97
"(62, 58)",0.97
"(62, 59)",0.97
"(62, 60)",0.96
"(62, 61)",0.86
"(62, 62)",0.88
"(62, 63)",0.91
"(62, 64)",0.87
"(62, 65)",0.89
"(62, 66)",0.94
"(63, 0)",0.68
"(63, 1)",0.7
"(63, 2)",0.77
"(63, 3)",0.85
"(63, 4)",0.75
"(63, 5)",0.58
"(63, 6)",0.61
"(63, 7)",0.66
"(63, 8)",0.66
"(63, 9)",0.62
"(63, 10)",0.59
"(63, 11)",0.54
"(63, 12)",0.48
"(63, 13)",0.59
"(63, 14)",0.64
"(63, 15)",0.68
"(63, 16)",0.9
"(63, 17)",0.88
"(63, 18)",0.88
"(63, 19)",0.89
"(63, 20)",0.92
"(63, 21)",0.91
"(63, 22)",0.91
"(63, 23)",0.92
"(63, 24)",0.92
"(63, 25)",0.92
"(63, 26)",0.91
"(63, 27)",0.91
"(63, 28)",0.93
"(63, 29)",0.93
"(63, 30)",0.91
"(63, 31)",0.88
"(63, 32)",0.88
"(63, 33)",0.89
"(63, 34)",0.87
"(63, 35)",0.87
"(63, 36)",0.88
"(63, 37)",0.95
"(63, 38)",0.9
"(63, 39)",0.94
"(63, 40)",0.98
"(63, 41)",0.98
"(63, 42)",0.97
"(63, 43)",0.98
"(63, 44)",0.98
"(63, 45)",1.0
"(63, 46)",1.0
"(63, 47)",0.98
"(63, 48)",0.97
"(63, 49)",0.88
"(63, 50)",0.96
"(63, 51)",0.95
"(63, 52)",0.97
"(63, 53)",0.97
"(63, 54)",0.97
"(63, 55)",0.95
"(63, 56)",0.96
"(63, 57)",0.98
"(63, 58)",0.98
"(63, 59)",0.98
"(63, 60)",0.97
"(63, 61)",0.87
"(63, 62)",0.89
"(63, 63)",0.92
"(63, 64)",0.88
"(63, 65)",0.9
"(63, 66)",0.95
"(64, 0)",0.67
"(64, 1)",0.69
"(64, 2)",0.75
"(64, 3)",0.83
"(64, 4)",0.73
"(64, 5)",0.56
"(64, 6)",0.58
"(64, 7)",0.64
"(64, 8)",0.63
"(64, 9)",0.59
"(64, 10)",0.56
"(64, 11)",0.52
"(64, 12)",0.45
"(64, 13)",0.56
"(64, 14)",0.61
"(64, 15)",0.66
"(64, 16)",0.9
"(64, 17)",0.88
"(64, 18)",0.88
"(64, 19)",0.89
"(64, 20)",0.92
"(64, 21)",0.91
"(64, 22)",0.91
"(64, 23)",0.92
"(64, 24)",0.92
"(64, 25)",0.92
"(64, 26)",0.91
"(64, 27)",0.91
"(64, 28)",0.93
"(64, 29)",0.93
"(64, 30)",0.91
"(64, 31)",0.88
"(64, 32)",0.88
"(64, 33)",0.89
"(64, 34)",0.87
"(64, 35)",0.87
"(64, 36)",0.88
"(64, 37)",0.94
"(64, 38)",0.89
"(64, 39)",0.93
"(64, 40)",0.97
"(64, 41)",0.98
"(64, 42)",0.97
"(64, 43)",0.98
"(64, 44)",0.98
"(64, 45)",1.0
"(64, 46)",1.0
"(64, 47)",0.98
"(64, 48)",0.97
"(64, 49)",0.88
"(64, 50)",0.96
"(64, 51)",0.95
"(64, 52)",0.97
"(64, 53)",0.97
"(64, 54)",0.97
"(64, 55)",0.95
"(64, 56)",0.96
"(64, 57)",0.98
"(64, 58)",0.98
"(64, 59)",0.98
"(64, 60)",0.97
"(64, 61)",0.87
"(64, 62)",0.89
"(64, 63)",0.92
"(64, 64)",0.88
"(64, 65)",0.9
"(64, 66)",0.95
"(65, 0)",0.65
"(65, 1)",0.67
"(65, 2)",0.7
"(65, 3)",0.77
"(65, 4)",0.68
"(65, 5)",0.55
"(65, 6)",0.54
"(65, 7)",0.58
"(65, 8)",0.56
"(65, 9)",0.52
"(65, 10)",0.52
"(65, 11)",0.49
"(65, 12)",0.43
"(65, 13)",0.54
"(65, 14)",0.6
"(65, 15)",0.65
"(65, 16)",0.89
"(65, 17)",0.87
"(65, 18)",0.87
"(65, 19)",0.88
"(65, 20)",0.91
"(65, 21)",0.9
"(65, 22)",0.9
"(65, 23)",0.91
"(65, 24)",0.91
"(65, 25)",0.91
"(65, 26)",0.9
"(65, 27)",0.9
"(65, 28)",0.92
"(65, 29)",0.92
"(65, 30)",0.9
"(65, 31)",0.87
"(65, 32)",0.87
"(65, 33)",0.88
"(65, 34)",0.86
"(65, 35)",0.86
"(65, 36)",0.87
"(65, 37)",0.94
"(65, 38)",0.89
"(65, 39)",0.93
"(65, 40)",0.97
"(65, 41)",0.98
"(65, 42)",0.97
"(65, 43)",0.98
"(65, 44)",0.98
"(65, 45)",1.0
"(65, 46)",1.0
"(65, 47)",0.98
"(65, 48)",0.97
"(65, 49)",0.88
"(65, 50)",0.96
"(65, 51)",0.95
"(65, 52)",0.97
"(65, 53)",0.97
"(65, 54)",0.97
"(65, 55)",0.95
"(65, 56)",0.95
"(65, 57)",0.97
"(65, 58)",0.97
"(65, 59)",0.97
"(65, 60)",0.96
"(65, 61)",0.87
"(65, 62)",0.89
"(65, 63)",0.92
"(65, 64)",0.88
"(65, 65)",0.9
"(65, 66)",0.95
"(66, 0)",0.61
"(66, 1)",0.62
"(66, 2)",0.65
"(66, 3)",0.71
"(66, 4)",0.63
"(66, 5)",0.5
"(66, 6)",0.46
"(66, 7)",0.5
"(66, 8)",0.48
"(66, 9)",0.45
"(66, 10)",0.44
"(66, 11)",0.43
"(66, 12)",0.38
"(66, 13)",0.48
"(66, 14)",0.52
"(66, 15)",0.57
"(66, 16)",0.88
"(66, 17)",0.86
"(66, 18)",0.86
"(66, 19)",0.87
"(66, 20)",0.89
"(66, 21)",0.88
"(66, 22)",0.88
"(66, 23)",0.89
"(66, 24)",0.89
"(66, 25)",0.89
"(66, 26)",0.88
"(66, 27)",0.88
"(66, 28)",0.9
"(66, 29)",0.9
"(66, 30)",0.88
"(66, 31)",0.85
"(66, 32)",0.85
"(66, 33)",0.86
"(66, 34)",0.84
"(66, 35)",0.84
"(66, 36)",0.85
"(66, 37)",0.92
"(66, 38)",0.87
"(66, 39)",0.91
"(66, 40)",0.95
"(66, 41)",0.96
"(66, 42)",0.95
"(66, 43)",0.96
"(66, 44)",0.96
"(66, 45)",0.98
"(66, 46)",0.98
"(66, 47)",0.96
"(66, 48)",0.94
"(66, 49)",0.85
"(66, 50)",0.93
"(66, 51)",0.92
"(66, 52)",0.94
"(66, 53)",0.94
"(66, 54)",0.94
"(66, 55)",0.92
"(66, 56)",0.92
"(66, 57)",0.94
"(66, 58)",0.94
"(66, 59)",0.94
"(66, 60)",0.93
"(66, 61)",0.84
"(66, 62)",0.86
"(66, 63)",0.89
"(66, 64)",0.86
"(66, 65)",0.88
"(66, 66)",0.93
